;Poniedziałek / Monday;Wtorek / Tuesday;Środa / Wednesday;Czwartek / Thursday;Piątek / Friday
07:00;"WP 110
[P] Realizacja projektu informatycznego
dr inż. Katarzyna Łukasiewicz
co 2 tygodnie";;;;
08:00;"WP 110
[P] Realizacja projektu informatycznego
dr inż. Katarzyna Łukasiewicz
co 2 tygodnie";"NE AUD1L
[P] PROJEKT GRUPOWY II
dr inż. Sławomir Gajewski
zajęcia w dniach: 24.02, 05.03, 02.06, 09.06.2026";;;"EA 204
[L] Zarządzanie bezpieczeństwem sieci
dr inż. Michał Hoeft
co 2 tygodnie"
09:00;"NE 209
[L] Technika radia programowalnego dla info
dr inż. Andrzej Marczak
zajęcia wprowadzające dnia 27.04.2026
EA 407
[L] Technika radia programowalnego dla info
dr inż. Andrzej Marczak
od 04.05.2026; przedmiot obieralny";"NE AUD1L
[P] PROJEKT GRUPOWY II
dr inż. Sławomir Gajewski
zajęcia w dniach: 24.02, 05.03, 02.06, 09.06.2026";;"WP 111
[L] Komponentowe systemy rozproszone
mgr inż. Tomasz Goluch
gr.A";"EA 204
[L] Zarządzanie bezpieczeństwem sieci
dr inż. Michał Hoeft
co 2 tygodnie"
10:00;"NE 209
[L] Technika radia programowalnego dla info
dr inż. Andrzej Marczak
zajęcia wprowadzające dnia 27.04.2026
EA 407
[L] Technika radia programowalnego dla info
dr inż. Andrzej Marczak
od 04.05.2026; przedmiot obieralny";"NE AUD1P
[W] Zarządzanie bezpieczeństwem sieci
dr inż. Michał Hoeft
do 21.04.2026
NE AUD1P
[W] Zarządzanie firmą informatyczną
dr inż. Paweł Jakóbczyk
od 28.04.2026";;"WP 111
[L] Komponentowe systemy rozproszone
mgr inż. Tomasz Goluch
gr.A";"EA 204
[L] Zarządzanie bezpieczeństwem sieci
dr inż. Michał Hoeft
co 2 tygodnie"
11:00;"EA 407
[L] Technika radia programowalnego dla info
dr inż. Andrzej Marczak
od 04.05.2026; przedmiot obieralny
EA 401
[L] Wirtualne zespoły robocze
dr inż. Jerzy Dembski
co 2 tygodnie";"NE AUD1P
[W] Zarządzanie bezpieczeństwem sieci
dr inż. Michał Hoeft
do 21.04.2026
NE AUD1P
[W] Zarządzanie firmą informatyczną
dr inż. Paweł Jakóbczyk
od 28.04.2026";;"NE 206
[P] Bezpieczeństwo systemów komputerowych
dr inż. Agnieszka Czapiewska
gr.B

EA 407
[L] Technika radia programowalnego dla info
dr inż. Andrzej Marczak
od 30.04.2026; przedmiot obieralny";"NE AUD1P
[W] Jakość oprogramowania
dr inż. Jarosław Kuchta"
12:00;"EA 401
[L] Wirtualne zespoły robocze
dr inż. Jerzy Dembski
co 2 tygodnie";"EA AUD.1
[W] Wirtualne zespoły robocze
prof. Bogdan Wiszniewski";;"EA 407
[L] Technika radia programowalnego dla info
dr inż. Andrzej Marczak
od 30.04.2026; przedmiot obieralny
NE AUD1L
[W] Realizacja projektu informatycznego
dr inż. Jakub Miler
do 16.04.2026

NE 206
[L] Technika radia programowalnego dla info
dr inż. Andrzej Marczak
zajęcia wprowadzające dnia 23.04.2026";"NE 205
[P] Bezpieczeństwo systemów komputerowych
dr inż. Agnieszka Czapiewska
gr.A"
13:00;"NE AUD.2
[W] Bazy wiedzy
dr inż. Wojciech Waloszek
do 20.04.2026
EA 20
[P] Zarządzanie firmą informatyczną
dr inż. Mateusz Ficek
gr.B; od 27.04.2026";;;"EA 407
[L] Technika radia programowalnego dla info
dr inż. Andrzej Marczak
od 30.04.2026; przedmiot obieralny
NE AUD1L
[W] Realizacja projektu informatycznego
dr inż. Jakub Miler
do 16.04.2026

NE 206
[L] Technika radia programowalnego dla info
dr inż. Andrzej Marczak
zajęcia wprowadzające dnia 23.04.2026";
14:00;"NE AUD.2
[W] Bazy wiedzy
dr inż. Wojciech Waloszek
do 20.04.2026
EA 20
[P] Zarządzanie firmą informatyczną
dr inż. Mateusz Ficek
gr.B; od 27.04.2026";;"NE 104
[P] Zarządzanie firmą informatyczną
dr inż. Paweł Jakóbczyk
gr.A; od 29.04.2026
WP 122
[L] Bazy wiedzy
dr inż. Wojciech Waloszek
gr.B; od 29.04.2026";"EA AUD.2
[W] Bezpieczeństwo systemów komputerowych
dr inż. Piotr Rajchowski";"eNaucz01
[P] Jakość oprogramowania
dr inż. Adam Kaczmarek
co 2 tygodnie; zajęcia zdalne"
15:00;"NE AUD.2
[W] Eksploracja danych
dr inż. Wojciech Waloszek
do 20.04.2026
WP 107
[L] Bazy wiedzy
dr inż. Wojciech Waloszek
gr.A; od 27.04.2026";;"NE 104
[P] Zarządzanie firmą informatyczną
dr inż. Paweł Jakóbczyk
gr.A; od 29.04.2026
WP 122
[L] Bazy wiedzy
dr inż. Wojciech Waloszek
gr.B; od 29.04.2026";"EA AUD.2
[W] Bezpieczeństwo systemów komputerowych
dr inż. Piotr Rajchowski";"eNaucz01
[P] Jakość oprogramowania
dr inż. Adam Kaczmarek
co 2 tygodnie; zajęcia zdalne"
16:00;"NE AUD.2
[W] Eksploracja danych
dr inż. Wojciech Waloszek
do 20.04.2026
WP 107
[L] Bazy wiedzy
dr inż. Wojciech Waloszek
gr.A; od 27.04.2026";"EA 07
[S] Seminarium dyplomowe inżynierskie I
dr hab. Robert Janczewski
zajęcia nieregularne
EA 736
[S] Seminarium dyplomowe inżynierskie I
dr hab. Marek Moszyński
zajęcia nieregularne

NE 104
[S] Seminarium dyplomowe inżynierskie I
dr inż. Krzysztof Nowicki
zajęcia nieregularne

NE 232
[S] Seminarium dyplomowe inżynierskie I
dr inż. Mariusz Szwoch
zajęcia nieregularne

NE 310
[S] Seminarium dyplomowe inżynierskie I
dr inż. Jarosław Kuchta
zajęcia nieregularne

EA 633
[S] Seminarium dyplomowe inżynierskie I
dr inż. Elżbieta Zamiar
zajęcia nieregularne; od 31.03.2026";;"NE AUD1L
[W] Komponentowe systemy rozproszone
dr inż. Krzysztof Manuszewski
do 16.04.2026";"EA AUD.2
[P] Jakość oprogramowania
dr inż. Adam Kaczmarek
zajęcia wprowadzające dnia 27.02.2026"
17:00;"WP 104
[L] Eksploracja danych
mgr inż. Michał Sieczczyński
co 2 tygodnie";"EA 07
[S] Seminarium dyplomowe inżynierskie I
dr hab. Robert Janczewski
zajęcia nieregularne
EA 736
[S] Seminarium dyplomowe inżynierskie I
dr hab. Marek Moszyński
zajęcia nieregularne

NE 104
[S] Seminarium dyplomowe inżynierskie I
dr inż. Krzysztof Nowicki
zajęcia nieregularne

NE 232
[S] Seminarium dyplomowe inżynierskie I
dr inż. Mariusz Szwoch
zajęcia nieregularne

NE 310
[S] Seminarium dyplomowe inżynierskie I
dr inż. Jarosław Kuchta
zajęcia nieregularne

EA 633
[S] Seminarium dyplomowe inżynierskie I
dr inż. Elżbieta Zamiar
zajęcia nieregularne; od 31.03.2026";"WP 108
[L] Komponentowe systemy rozproszone
mgr inż. Krzysztof Pastuszak
gr.B";"NE AUD1L
[W] Komponentowe systemy rozproszone
dr inż. Krzysztof Manuszewski
do 16.04.2026";"EA AUD.2
[P] Jakość oprogramowania
dr inż. Adam Kaczmarek
zajęcia wprowadzające dnia 27.02.2026"
18:00;"WP 104
[L] Eksploracja danych
mgr inż. Michał Sieczczyński
co 2 tygodnie";"EA 07
[S] Seminarium dyplomowe inżynierskie I
dr hab. Robert Janczewski
zajęcia nieregularne
EA 736
[S] Seminarium dyplomowe inżynierskie I
dr hab. Marek Moszyński
zajęcia nieregularne

NE 104
[S] Seminarium dyplomowe inżynierskie I
dr inż. Krzysztof Nowicki
zajęcia nieregularne

NE 232
[S] Seminarium dyplomowe inżynierskie I
dr inż. Mariusz Szwoch
zajęcia nieregularne

NE 310
[S] Seminarium dyplomowe inżynierskie I
dr inż. Jarosław Kuchta
zajęcia nieregularne

EA 633
[S] Seminarium dyplomowe inżynierskie I
dr inż. Elżbieta Zamiar
zajęcia nieregularne; od 31.03.2026";"WP 108
[L] Komponentowe systemy rozproszone
mgr inż. Krzysztof Pastuszak
gr.B";;
19:00;;;;;
20:00;;;;;
21:00;;;;;
